NAME	CPU %	MEM USAGE / LIMIT	MEM %	TIME

TBbwa
--------------------
mtbseq_container	945.52%	50.78MiB / 125.4GiB	0.04%	2025-06-12 22:21:11
mtbseq_container	1701.57%	1.344GiB / 125.4GiB	1.07%	2025-06-12 22:21:17
mtbseq_container	210.12%	92.49MiB / 125.4GiB	0.07%	2025-06-12 22:21:24
mtbseq_container	1630.46%	1.091GiB / 125.4GiB	0.87%	2025-06-12 22:21:31
mtbseq_container	100.21%	147.6MiB / 125.4GiB	0.11%	2025-06-12 22:21:37
mtbseq_container	99.75%	219.4MiB / 125.4GiB	0.17%	2025-06-12 22:21:44
mtbseq_container	99.77%	283.4MiB / 125.4GiB	0.22%	2025-06-12 22:21:50
mtbseq_container	99.79%	347.1MiB / 125.4GiB	0.27%	2025-06-12 22:21:57
mtbseq_container	100.23%	410.7MiB / 125.4GiB	0.32%	2025-06-12 22:22:03
mtbseq_container	1289.05%	762.2MiB / 125.4GiB	0.59%	2025-06-12 22:22:10
mtbseq_container	975.23%	99.2MiB / 125.4GiB	0.08%	2025-06-12 22:22:17
mtbseq_container	100.21%	133.8MiB / 125.4GiB	0.10%	2025-06-12 22:22:23
mtbseq_container	99.94%	202.9MiB / 125.4GiB	0.16%	2025-06-12 22:22:30
mtbseq_container	100.19%	265.3MiB / 125.4GiB	0.21%	2025-06-12 22:22:36
mtbseq_container	1447.18%	1.405GiB / 125.4GiB	1.12%	2025-06-12 22:22:43
mtbseq_container	1615.36%	1.431GiB / 125.4GiB	1.14%	2025-06-12 22:22:49
mtbseq_container	911.33%	382MiB / 125.4GiB	0.30%	2025-06-12 22:22:56
mtbseq_container	99.77%	159.7MiB / 125.4GiB	0.12%	2025-06-12 22:23:03
mtbseq_container	99.94%	233MiB / 125.4GiB	0.18%	2025-06-12 22:23:09
mtbseq_container	100.25%	296.2MiB / 125.4GiB	0.23%	2025-06-12 22:23:16
mtbseq_container	100.42%	358.6MiB / 125.4GiB	0.28%	2025-06-12 22:23:22
mtbseq_container	99.93%	420.9MiB / 125.4GiB	0.33%	2025-06-12 22:23:29
mtbseq_container	99.88%	462.7MiB / 125.4GiB	0.36%	2025-06-12 22:23:35
mtbseq_container	1556.78%	616.6MiB / 125.4GiB	0.48%	2025-06-12 22:23:42
mtbseq_container	100.11%	138.7MiB / 125.4GiB	0.11%	2025-06-12 22:23:49
mtbseq_container	99.89%	211.2MiB / 125.4GiB	0.16%	2025-06-12 22:23:55
mtbseq_container	1492.62%	1.213GiB / 125.4GiB	0.97%	2025-06-12 22:24:02
mtbseq_container	99.96%	138.5MiB / 125.4GiB	0.11%	2025-06-12 22:24:08
mtbseq_container	100.27%	208.2MiB / 125.4GiB	0.16%	2025-06-12 22:24:15
mtbseq_container	100.05%	246.1MiB / 125.4GiB	0.19%	2025-06-12 22:24:21
mtbseq_container	1693.49%	1.415GiB / 125.4GiB	1.13%	2025-06-12 22:24:28
mtbseq_container	93.53%	459.2MiB / 125.4GiB	0.36%	2025-06-12 22:24:35
mtbseq_container	1579.33%	1.193GiB / 125.4GiB	0.95%	2025-06-12 22:24:41
mtbseq_container	99.91%	209.7MiB / 125.4GiB	0.16%	2025-06-12 22:24:48
mtbseq_container	99.77%	281.5MiB / 125.4GiB	0.22%	2025-06-12 22:24:54
mtbseq_container	100.07%	345.3MiB / 125.4GiB	0.27%	2025-06-12 22:25:01
mtbseq_container	100.27%	408.5MiB / 125.4GiB	0.32%	2025-06-12 22:25:07
mtbseq_container	100.27%	471.4MiB / 125.4GiB	0.37%	2025-06-12 22:25:14
mtbseq_container	99.81%	529.6MiB / 125.4GiB	0.41%	2025-06-12 22:25:21
mtbseq_container	1547.59%	1.449GiB / 125.4GiB	1.16%	2025-06-12 22:25:27
mtbseq_container	942.73%	346.5MiB / 125.4GiB	0.27%	2025-06-12 22:25:34
mtbseq_container	99.83%	211.7MiB / 125.4GiB	0.16%	2025-06-12 22:25:40
mtbseq_container	100.36%	284.5MiB / 125.4GiB	0.22%	2025-06-12 22:25:47
mtbseq_container	99.87%	349.9MiB / 125.4GiB	0.27%	2025-06-12 22:25:53
mtbseq_container	99.93%	414.5MiB / 125.4GiB	0.32%	2025-06-12 22:26:00
mtbseq_container	99.43%	276MiB / 125.4GiB	0.21%	2025-06-12 22:26:07
mtbseq_container	1696.70%	1.507GiB / 125.4GiB	1.20%	2025-06-12 22:26:13
mtbseq_container	1575.14%	1.531GiB / 125.4GiB	1.22%	2025-06-12 22:26:20
mtbseq_container	968.92%	231.8MiB / 125.4GiB	0.18%	2025-06-12 22:26:26
mtbseq_container	1016.19%	1.819GiB / 125.4GiB	1.45%	2025-06-12 22:26:33
mtbseq_container	100.12%	247.9MiB / 125.4GiB	0.19%	2025-06-12 22:26:39
mtbseq_container	99.79%	321.2MiB / 125.4GiB	0.25%	2025-06-12 22:26:46
mtbseq_container	99.93%	388.5MiB / 125.4GiB	0.30%	2025-06-12 22:26:53
mtbseq_container	99.89%	451.5MiB / 125.4GiB	0.35%	2025-06-12 22:26:59
mtbseq_container	99.85%	513.9MiB / 125.4GiB	0.40%	2025-06-12 22:27:06
mtbseq_container	100.21%	575.9MiB / 125.4GiB	0.45%	2025-06-12 22:27:12
mtbseq_container	100.00%	637.7MiB / 125.4GiB	0.50%	2025-06-12 22:27:19
mtbseq_container	100.34%	699.5MiB / 125.4GiB	0.54%	2025-06-12 22:27:25

==> Start Time: 2025-06-12 22:21:11
==> End Time: 2025-06-12 22:27:32
==> Total Time: 00:06:21


TBrefine
--------------------
mtbseq_container	980.35%	36.42MiB / 125.4GiB	0.03%	2025-06-12 22:27:32
mtbseq_container	739.71%	1007MiB / 125.4GiB	0.78%	2025-06-12 22:27:39
mtbseq_container	134.07%	1.073GiB / 125.4GiB	0.86%	2025-06-12 22:27:45
mtbseq_container	112.75%	1.196GiB / 125.4GiB	0.95%	2025-06-12 22:27:52
mtbseq_container	99.83%	1.221GiB / 125.4GiB	0.97%	2025-06-12 22:27:59
mtbseq_container	103.07%	1.285GiB / 125.4GiB	1.02%	2025-06-12 22:28:05
mtbseq_container	560.68%	1.312GiB / 125.4GiB	1.05%	2025-06-12 22:28:12
